text,label
"Congratulations! You've won a free iPhone. Click here to claim now!",1
"Meeting scheduled for tomorrow at 10 AM. Please prepare the quarterly report.",0
"URGENT: Your account has been compromised. Verify your details now!",1
"Hi John, can we reschedule our lunch to Wednesday?",0
"Get rich quick! Invest $100 now and earn $10,000 in just one week!",1
"Your Amazon order #12345 has been shipped and will arrive tomorrow.",0
"FREE VIAGRA! Limited time offer. Buy now!",1
"The project deadline has been extended to next Friday.",0
"You have won the lottery! Send your details to claim the prize.",1
"Reminder: Doctor's appointment tomorrow at 2 PM.",0
"URGENT: Your bank account will be suspended. Verify your identity now!",1
"Please review the attached document and provide feedback by EOD.",0
"Claim your FREE gift card! Limited time offer!",1
"Team meeting has been moved to Conference Room B at 3 PM.",0
"Hot singles in your area want to meet you tonight!",1
"Your flight reservation has been confirmed. Check-in opens 24 hours before departure.",0
"MAKE MONEY FAST!!! Work from home and earn thousands!",1
"Can you please send me the updated sales figures for Q2?",0
"Your PayPal account has been limited. Click here to verify your information.",1
"The client meeting is confirmed for Thursday at 11 AM.",0
"Congratulations! You've been selected for a special offer!",1
"Please remember to submit your timesheet by Friday.",0
"ALERT: Suspicious activity detected on your account!",1
"The documents you requested are attached to this email.",0
"Lose 20 pounds in 2 weeks with this miracle pill!",1
"Your subscription will renew automatically on June 15th.",0
"URGENT: You have won $5,000,000 in the international lottery!",1
"The system maintenance is scheduled for this weekend.",0
"Buy cheap medications online! No prescription needed!",1
"Your password has been reset successfully.",0
"Congratulations! You are our 1,000,000th visitor! Claim your prize now!",1
"The meeting minutes from yesterday's call are attached.",0
"FINAL NOTICE: Your car warranty is about to expire!",1
"Please confirm your attendance for the company retreat next month.",0
"Increase your manhood size with this amazing product!",1
"Your tax documents are ready for download in the employee portal.",0
"Nigerian prince needs your help to transfer millions of dollars!",1
"The office will be closed on Monday for the holiday.",0
"ATTENTION: Your Netflix account will be suspended!",1
"Please review and sign the attached contract by tomorrow.",0
"FREE MONEY! Government grants available now!",1
"Your vacation request has been approved.",0
"URGENT: Your inheritance of $4.5M is waiting to be claimed!",1
"The new company policy takes effect starting next month.",0
"Earn $500 daily working from home! No experience needed!",1
"Your order has been processed and will ship tomorrow.",0
"IMPORTANT: Your email storage is full. Click here to upgrade!",1
"The quarterly budget review meeting is scheduled for next Tuesday.",0
"Unlock your FREE credit score today!",1
"Please submit your expense reports by the end of the month.",0
